defo,D_fedge,D_road,D_rivers,D_villages,elevation,slope,geotype,soiltype,protectedarea
0,0.0,1078.716041796044,42.1007441294094,1935.9476830845983,144,18.16532,26,45,0
0,42.09846362574812,413.5517457183789,347.1527885438197,442.53471074577163,892,10.760324,17,45,0
0,29.691304238165106,412.48489533484076,319.7852218830095,454.18974486531545,104,5.921145,26,1008,0
0,0.0,149.04351007510462,299.57374767801593,199.96285207986523,133,6.2283416,18,212,0
0,338.6666305822318,1328.3596300101208,29.703024312690996,1897.7420069265252,453,7.967497,26,45,0
0,268.0381760237753,245.5887994156849,1329.5594128047585,1986.7082954158668,1099,12.769178,25,45,0
0,0.0,315.45676402750206,255.27981832595236,380.0340817878214,61,12.096932,19,1020,0
0,29.829470364827024,178.9768467425937,317.0916629962056,421.85247335691156,246,20.067223,17,213,0
0,89.3687180238727,593.5529693644926,537.0391033576198,1578.8471888693919,484,31.902542,27,213,0
0,0.0,126.44268199881986,992.483327053901,611.5028627567234,89,3.3557324,18,45,0
0,0.0,298.7445002476575,828.0757995408127,328.336487090428,181,13.041111,17,575,0
0,0.0,2173.3187941472493,84.08036229833189,2566.3456043419587,320,22.652357,17,320,0
0,0.0,178.7714236779137,1737.345952731538,442.9380457419781,165,15.45598,27,213,0
0,0.0,6190.091788276652,1015.0702054403215,6477.717891701726,70,16.825768,19,213,0
0,94.21456834107617,585.3446728093868,463.47434661554155,2162.013718186578,1429,40.90522,14,45,1
0,0.0,296.8575241566861,1553.3337659930717,1042.8110894412846,5,3.9580107,23,153,1
0,0.0,339.4581864553608,1948.9021004074718,843.1440793106257,20,2.0766783,23,161,0
0,42.00591563389837,828.4860426855752,375.7122792734821,2612.82161725382,561,21.415697,26,45,0
0,66.54213578598855,590.6902467887608,989.2198629196768,1883.271565777572,88,19.90446,18,210,0
0,0.0,107.4438167931959,297.99553129186666,426.6646694692916,73,0.93380564,23,45,0
0,29.7268058055089,693.9791732433387,2521.1763015468487,1499.6574846981337,244,15.622861,18,575,0
0,66.49356851094933,841.0847081763674,1742.588682123087,1715.482935830316,176,12.72392,18,575,0
0,0.0,702.5960546454968,84.20213484062474,808.7350956623897,376,2.0767505,17,45,0
0,42.057389060774746,3714.0504722062155,1452.0460534056544,5424.016838717134,444,34.189392,17,45,0
0,0.0,404.94495159016293,1370.8124978628096,559.3678192189236,110,11.209114,17,210,0
0,66.5880988957545,715.9381218283528,66.58809202119728,1585.8594049429773,645,28.155376,26,45,0
